title,company,location,link,source,scraped_at
Senior Data Scientist - Machine Learning (Cortex),Palo Alto Networks,"Tel Aviv-Yafo, Tel Aviv District, Israel",https://il.linkedin.com/jobs/view/senior-data-scientist-machine-learning-cortex-at-palo-alto-networks-4280960428,LinkedIn,2025-08-07 12:10
Senior Data Scientist (Applied AI),Zencity,"Tel Aviv District, Israel",https://il.linkedin.com/jobs/view/senior-data-scientist-applied-ai-at-zencity-4280803142,LinkedIn,2025-08-07 12:10
Senior Data Scientist,EX.CO,"Tel Aviv District, Israel",https://il.linkedin.com/jobs/view/senior-data-scientist-at-ex-co-4278818187,LinkedIn,2025-08-07 12:10
Senior Data Scientist,Shield,"Ramat Gan, Tel Aviv District, Israel",https://il.linkedin.com/jobs/view/senior-data-scientist-at-shield-4281406918,LinkedIn,2025-08-07 12:10
Full Stack Data Scientist,Lasso,"Tel Aviv District, Israel",https://il.linkedin.com/jobs/view/full-stack-data-scientist-at-lasso-4280794939,LinkedIn,2025-08-07 12:10
Senior Data Scientist (BigBrain),myGwork - LGBTQ+ Business Community,"Tel Aviv-Yafo, Tel Aviv District, Israel",https://il.linkedin.com/jobs/view/senior-data-scientist-bigbrain-at-mygwork-lgbtq%2B-business-community-4278862361,LinkedIn,2025-08-07 12:10
Senior Data Scientist (BigBrain),monday.com,"Tel Aviv-Yafo, Tel Aviv District, Israel",https://il.linkedin.com/jobs/view/senior-data-scientist-bigbrain-at-monday-com-4280789545,LinkedIn,2025-08-07 12:10
Senior Data Scientist,Payoneer,"Petah Tikva, Center District, Israel",https://il.linkedin.com/jobs/view/senior-data-scientist-at-payoneer-4255734368,LinkedIn,2025-08-07 12:10
Team Lead Data Science,Pagaya,"Tel Aviv-Yafo, Tel Aviv District, Israel",https://il.linkedin.com/jobs/view/team-lead-data-science-at-pagaya-4280404557,LinkedIn,2025-08-07 12:10
Lead AI Algorithm Developer,GE HealthCare,"Haifa, Haifa District, Israel",https://il.linkedin.com/jobs/view/lead-ai-algorithm-developer-at-ge-healthcare-4267075468,LinkedIn,2025-08-07 12:10
Principal Data Scientist- AxoniusX,Axonius,"Tel Aviv-Yafo, Tel Aviv District, Israel",https://il.linkedin.com/jobs/view/principal-data-scientist-axoniusx-at-axonius-4225256872,LinkedIn,2025-08-07 12:10
Cyber Security Analyst,Check Point Software,"Tel Aviv District, Israel",https://il.linkedin.com/jobs/view/cyber-security-analyst-at-check-point-software-4279458027,LinkedIn,2025-08-07 12:10
Senior Data Scientist (BigBrain),Monday.com,"Tel-Aviv, IL",https://monday.com/careers/F0.B3E,Monday.com,2025-08-07 12:10
Full Stack Data Scientist,Monday.com,"Tel-Aviv, IL",https://monday.com/careers/34.159,Monday.com,2025-08-07 12:10
Senior Software Engineer- AI group,Monday.com,"Tel-Aviv, IL",https://monday.com/careers/69.F42,Monday.com,2025-08-07 12:10
Engineering Tech Lead -AI group,Monday.com,"Tel-Aviv, IL",https://monday.com/careers/61.158,Monday.com,2025-08-07 12:10
"Data Scientist, Professional Services Israel",Amazon,"Tel Aviv, ISR",https://www.amazon.jobs/en/jobs/2977060/data-scientist-professional-services-israel,Amazon,2025-08-07 12:10
"Data Scientist, Product Analytics",Meta,"Tel Aviv-Yafo, Tel Aviv District, Israel",https://il.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-4226056382,LinkedIn,2025-08-07 14:11
Data Scientist,Gotfriends,"Tel Aviv District, Israel",https://il.linkedin.com/jobs/view/data-scientist-at-gotfriends-4277394246,LinkedIn,2025-08-07 14:11
Principal Data Scientist - Microsoft 365 Copilot,Microsoft,Israel,https://il.linkedin.com/jobs/view/principal-data-scientist-microsoft-365-copilot-at-microsoft-4281607324,LinkedIn,2025-08-07 14:11
Data Product Manager (BigBrain),monday.com,"Tel Aviv-Yafo, Tel Aviv District, Israel",https://il.linkedin.com/jobs/view/data-product-manager-bigbrain-at-monday-com-4279474508,LinkedIn,2025-08-07 14:11
Data Scientist AI Platform,Fiverr,Tel Aviv-Yafo,https://il.linkedin.com/jobs/view/data-scientist-ai-platform-at-fiverr-4240794946,LinkedIn,2025-08-07 14:50
Data Scientist,Nogamy,"Tel Aviv District, Israel",https://il.linkedin.com/jobs/view/data-scientist-at-nogamy-4279483488,LinkedIn,2025-08-07 14:50
